"DeviceID","created","lastEdited","uploaded","crb_breeding_sites_key","ecplus_crb_breeding_sites_ctrl2","ecplus_crb_breeding_sites_ctrl3","ecplus_crb_breeding_sites_ctrl4_lat","ecplus_crb_breeding_sites_ctrl4_lon","ecplus_crb_breeding_sites_ctrl4_alt","ecplus_crb_breeding_sites_ctrl4_acc","ecplus_crb_breeding_sites_ctrl4_provider","ecplus_crb_breeding_sites_ctrl4_bearing","ecplus_crb_breeding_sites_ctrl5","ecplus_crb_breeding_sites_ctrl6","ecplus_crb_breeding_sites_ctrl7","ecplus_crb_breeding_sites_ctrl8"
"web","1424393589879","2015-02-20 00:58:43","2015-02-20 00:57:13","06d53b9d-568e-447a-ac89-77c5edb9f2e6","02/16/2015","10:53:09","13.576083","144.940616","0","-1","","0","","25","no","dump area contains coconut debris, palm, and other organic material approx. 25 cu ft. Does not look infested because it's not yet to the decomposition stage. But could possibly become a future breeding site. "
"c188b5c88c9bf72d","1424823809479","","2015-02-25 00:23:42","4e165821-d8b9-40ae-af30-1cfbe1ad8f9c","02/25/2015","10:21:21","13.57169947","144.9085204","222.0","4.0","gps","N/A","http://plus.epicollect.net//crb_breeding_sites/crb_breeding_sites/__getImage?img=crb_breeding_sites_ecplus_crb_breeding_sites_ctrl5_0ce1133c-ec18-4d21-984e-cffac710fa12.jpg","2","yes","Eggs first instars and female beetle found in fallen coconut tree"
"f180520b7f44621b","1424921949114","","2015-02-26 03:39:41","69fe0619-efb7-4f05-8803-ad9c918eb0f3","02/26/2015","13:35:27","13.5805178","144.9074565","N/A","3921.0","network","N/A","http://plus.epicollect.net//crb_breeding_sites/crb_breeding_sites/__getImage?img=crb_breeding_sites_ecplus_crb_breeding_sites_ctrl5_b0bfd61d-120c-4403-b5d1-cae46e88d9e5.jpg","200","yes","Positive crb breeding site"
"f180520b7f44621b","1425441061555","","2015-03-11 00:22:15","43ed4441-14db-4dc6-aa77-176db5c95092","03/04/2015","13:48:26","13.5683831","144.9249936","N/A","2922.0","network","N/A","http://plus.epicollect.net//crb_breeding_sites/crb_breeding_sites/__getImage?img=crb_breeding_sites_ecplus_crb_breeding_sites_ctrl5_4f63b3d9-c9a9-494c-b9a6-7973be985299.jpg","100","no",""
